"","section","site","treatment","plot","sr_observed","bm_observed_g","frac_bm_obs_max","frac_sr_obs_max","i_e_bnsh"
"1","S2","KENN","TIL",1,27,516.384,0.516704873726584,0.964285714285714,0.0769322708783633
"2","S2","KENN","TIL",3,21,628.001,0.628391230954423,0.75,0.261199023693866
"3","S2","KENN","TIL",11,18,564.932,0.565283040768317,0.642857142857143,0.364286702230193
"4","S2","KENN","TIL",13,21,341.415,0.341627150460436,0.75,0.287607298008347
"5","S2","KENN","TIL",15,21,487.038,0.487340638536531,0.75,0.274188456437239
"6","S2","KENN","TIL",21,23,541.45,0.541786449385068,0.821428571428571,0.204323837506631
"7","S2","KENN","TIL",23,22,525.771,0.526097706675846,0.785714285714286,0.2381939590841
"8","S2","KENN","TIL",25,22,547.239,0.547579046587931,0.785714285714286,0.236215729746368
"9","S2","TIMH","TIL",1,16,86.338,0.086391649214162,0.571428571428571,0.473238766518443
"10","S2","TIMH","TIL",3,25,659.537,0.659946826979554,0.892857142857143,0.1285917063215
"11","S2","TIMH","TIL",5,22,268.663,0.268829943394848,0.785714285714286,0.261885900045793
"12","S2","TIMH","TIL",11,26,114.836,0.114907357468988,0.928571428571429,0.146359378496513
"13","S2","TIMH","TIL",13,26,448.652,0.448930786018117,0.928571428571429,0.115598962779895
"14","S2","TIMH","TIL",15,22,391.852,0.392095491300097,0.785714285714286,0.250534302603745
"15","S2","TIMH","TIL",21,23,81.806,0.081856833093351,0.821428571428571,0.246679028754652
"16","S2","TIMH","TIL",23,28,326.1685,0.326371176500607,1,0.0620348780309887
"17","S2","TIMH","TIL",25,28,272.774,0.272943497912203,1,0.0669550646517049
"18","S2","VICP","TIL",1,8,136.282,0.136366683710584,0.285714285714286,0.728039223564595
"19","S2","VICP","TIL",3,12,104.937,0.105002206370156,0.428571428571429,0.601226253079965
"20","S2","VICP","TIL",5,14,344.084,0.344297808939351,0.5,0.514338707155416
"21","S2","VICP","TIL",11,16,215.158,0.215291696143305,0.571428571428571,0.461368284718245
"22","S2","VICP","TIL",13,22,270.933,0.271101353940797,0.785714285714286,0.261676724500951
"23","S2","VICP","TIL",15,12,135.216,0.135300021313236,0.428571428571429,0.598436109325671
"24","S2","VICP","TIL",21,13,512.772,0.513090629280783,0.464285714285714,0.531219812135641
"25","S2","VICP","TIL",23,13,338.904,0.33911459016049,0.464285714285714,0.54724136880104
"26","S2","VICP","TIL",25,14,446.712,0.446989580529509,0.5,0.504881760980981
"27","S4","BNSH","RES",1,12,371.498,0.371728843611883,0.428571428571429,0.576663238803126
"28","S4","BNSH","RES",3,14,685.14,0.685565736322256,0.5,0.482911141242916
"29","S4","BNSH","RES",5,18,571.665,0.572020224559451,0.642857142857143,0.363666270977586
"30","S4","BNSH","RES",11,15,542.249,0.542585945872387,0.535714285714286,0.463652899024687
"31","S4","BNSH","RES",13,8,999.379,1,0.285714285714286,0.648506719059819
"32","S4","BNSH","RES",15,12,366.299,0.36652661302669,0.428571428571429,0.577142315304284
"33","S4","BNSH","RES",21,22,525.351,0.525677445693776,0.785714285714286,0.238232661167287
"34","S4","BNSH","RES",23,15,927.635,0.92821141929138,0.535714285714286,0.428140420379671
"35","S4","BNSH","RES",25,21,444.629,0.444905286182719,0.75,0.278096353213086
"36","S4","DAVE","RES",1,14,764.4243,0.764899302466832,0.5,0.475605266066768
"37","S4","DAVE","RES",3,13,614.1251,0.614506708666082,0.464285714285714,0.52188034521324
"38","S4","DAVE","RES",5,10,733.2463,0.733701928897846,0.357142857142857,0.608179594520608
"39","S4","DAVE","RES",11,21,696.7199,0.697152831908615,0.75,0.254866727064619
"40","S4","DAVE","RES",13,15,411.512,0.411767707746511,0.535714285714286,0.475700028190286
"41","S4","DAVE","RES",15,8,533.3372,0.533668608205696,0.285714285714286,0.691451453612151
"42","S4","DAVE","RES",21,10,667.2574,0.667672024327107,0.357142857142857,0.614260327609143
"43","S4","DAVE","RES",23,11,324.472,0.32467362231946,0.392857142857143,0.613421918003563
"44","S4","DAVE","RES",25,8,115.4832,0.11555495962993,0.285714285714286,0.729955787583116
"45","S4","GRNB","RES",1,14,569.482,0.569835868074074,0.5,0.493568773474303
"46","S4","GRNB","RES",3,20,781.215,0.781700435970738,0.714285714285714,0.279506023996062
"47","S4","GRNB","RES",5,22,561.915,0.562264166047115,0.785714285714286,0.234863368382452
"48","S4","GRNB","RES",11,10,494.172,0.494479071503404,0.357142857142857,0.630209769392872
"49","S4","GRNB","RES",13,9,312.776,0.312970354590201,0.321428571428571,0.679350350778472
"50","S4","GRNB","RES",15,17,487.617,0.487919998318956,0.607142857142857,0.403836446663096
"51","S4","GRNB","RES",21,14,322.348,0.32254830249585,0.5,0.516341632108133
"52","S4","GRNB","RES",23,17,434.636,0.434906076673614,0.607142857142857,0.408718530161437
"53","S4","GRNB","RES",25,13,108.696,0.108763542159681,0.464285714285714,0.568454533482455
